与神同行：罪与罚,剧情 / 奇幻,2017-12-20韩国上映 / 139分钟,阴间有法，所有亡者在死后的49天内都要经过七次审判——分别在杀人狱、懒惰狱、欺骗狱、不义狱、背叛狱、暴力狱、天伦狱中进行，只有通过了七次审判宣告无罪的亡者，才有获得新生的机会。 消防员金子洪在一场火灾当中为了救一名女孩而不幸牺牲。地狱使者解怨脉和德春出现在了金子洪的面前。尽管金子洪无法相信自己的死亡，却被德春一脸严肃地告知自己既是亡者、又是贵人。在通往地狱的入口，金子洪遇到了在初军门等着自己的另一位使者江林。他掌管着解怨脉和德春两位使者，同时也将在子洪即将接受的七次审判中为子洪进行辩护。 原来倘若阎罗大王在1000年内令49位亡者得以往生，三位使者也可以重新投胎至凡间。他们相信第48位亡者——19年来出现的这位贵人金子洪是可以顺利重获新生的。然而在各地狱里，金子洪的过去接二连三地出现，原来这位贵人也依然有“不能说的秘密”。
囧妈,剧情 / 喜剧,2020-01-25中国大陆上映 / 126分钟,徐伊万（徐峥 饰）缠身于婚姻危机和商业纠纷中，却阴差阳错与妈妈坐上了开往俄罗斯的火车。生活方式和观念的冲突，使他与妈妈产生了激烈矛盾，同时还要与妻子斗智斗勇。一路风景奇遇，囧事不断……
攀登者,剧情 / 冒险,2019-09-30中国大陆上映 / 125分钟,1960年，中国登山队向珠峰发起冲刺，完成了世界首次北坡登顶这一不可能的任务。15 年后，方五洲（吴京 饰）和曲松林（张译 饰）在气象学家徐缨（章子怡 饰）的帮助下，带领李国梁（井柏然 饰）、杨光（胡歌 饰）等年轻队员再次挑战世界之巅。迎接他们的将是更加严酷的现实，也是生与死的挑战......
两只老虎,剧情 / 喜剧,2019-11-29中国大陆上映 / 96分钟,爱情事业均不成功的余凯旋 （ 乔杉 饰），生活没有方向，缺钱，笨，但还是有那么一点善良在。余凯旋想一夜暴富，绑架了一名几十年来忙着挣钱，事业成功了，但没家人、没朋友，突然间就对生活绝望的大富商张成功 （ 葛优 饰），打算勒索100万，张成功讨价还价之后，竟然答应给200万，条件是让余凯旋帮他做三件事。完成死之前的三个心愿，这三个心愿对应的是他的三个愧欠，对爱人，友人与亲人。绑匪与人质一路互相嫌弃又惺惺相惜，踏上了一段未知而温暖的旅程  。
我和我的祖国,剧情,2019-09-30中国大陆上映 / 155分钟,七位导演分别取材新中国成立70周年以来，祖国经历的无数个历史性经典瞬间。讲述普通人与国家之间息息相关密不可分的动人故事。聚焦大时代大事件下，小人物和国家之间，看似遥远实则密切的关联，唤醒全球华人共同回忆。
数码宝贝大冒险：最后的进化·羁绊,动画 / 冒险,2020-02-21日本上映 / 65分钟,系列20周年剧场版动画《数码宝贝大冒险》（暂定名） 公开了特报影像。在影片中，八神太一和石田大和将会成长为22岁，确认将于 2020年初春 在日本上映
疯狂的外星人,剧情 / 喜剧 / 科幻,2019-02-05中国大陆上映 / 116分钟,耿浩（黄渤 饰）与一心想发大财的好兄弟大飞（沈腾 饰），经营着各自惨淡的“事业”，然而“天外来客”（徐峥 饰）的意外降临，打破了二人平静又拮据的生活。神秘的西方力量也派出“哼哈二将”在全球搜查外星人行踪。啼笑皆非的跨物种对决，别开生面的“星战”，在中国某海边城市激情上演。
中国机长,剧情 / 传记,2019-09-30中国大陆上映 / 111分钟,四川航空3U8633航班机组执行航班任务时，在万米高空突遇驾驶舱风挡玻璃爆裂脱落、座舱释压的极端罕见险情。机组成员凭借着极少仍在工作状态的仪器，艰难地进行手动驾驶。座舱释压发生时，乘务组立即执行释压处置程序，指导旅客使用氧气面罩，并训练有素地喊出：“请大家相信我们，相信我们有信心、有能力带领大家安全落地。”生死关头，英雄机组的正确处置，确保了机上全体人员的生命安全，创造了世界民航史上的奇迹  。
流浪地球,剧情 / 冒险 / 科幻,2019-02-05中国大陆上映 / 125分钟,近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启长大，他带着妹妹朵朵偷偷跑到地表，偷开外公韩子昂的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望…… 本片根据刘慈欣的同名小说改编。
复仇者联盟4：终局之战,动作 / 冒险 / 奇幻,2019-04-24中国大陆上映 / 181分钟,一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森 饰）的帮助下找到灭霸（乔什·布洛林 饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德 饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯 饰）冰释前嫌的托尼（小罗伯特·唐尼 饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。 注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……
