冰雪奇缘2,喜剧 / 动画 / 冒险,2019-11-22中国大陆上映 / 104分钟,为什么艾莎（伊迪娜·门泽尔 配音）天生就拥有神奇魔法？谜题的答案一直呼唤着她，也威胁着王国的安全。她将和安娜（克里斯汀·贝尔 配音）、克斯托夫（乔纳森·格罗夫 配音）、雪宝（乔什·盖德 配音）和驯鹿斯特共同开启一场非凡的冒险旅程。艾莎曾担心世界不能接受自己的冰雪魔法，但在《冰雪奇缘2》中她却必须祈祷自己的魔法足够强大，能够拯救世界。本片由奥斯卡金牌团队打造——导演珍妮弗·李和克里斯·巴克、制作人彼得·戴尔·维克以及词曲作者克里斯汀·安德森-洛佩兹及罗伯特·洛佩兹悉数回归，原配音班底伊迪娜·门泽尔、克里斯汀·贝尔、乔纳森·格罗夫和乔什·盖德再度加盟。华特迪士尼动画工作室荣誉出品《冰雪奇缘2》将于2019年11月22日登陆北美院线。
速度与激情：增压,动作 / 短片,2015-06-25美国上映 / 11分钟,环球将发布[速激系列幕后花絮特辑[速度与激情：增压]，揭示[速激]如何在绿幕前完成驾车特效，文·迪塞尔、米歇尔·罗德里格兹、泰瑞斯·吉布森、卢克·伊万斯等人均有亮相。据悉[增压]将于6月25日亮相好莱坞环球影城，环球也正在打造[速激]主题游乐项目。
釜山行,动作 / 惊悚 / 灾难,2016-07-20韩国上映 / 118分钟,证券公司基金管理人石宇（孔侑 饰）光鲜精干，却也是个重利轻义之徒。妻子为此与之决裂，女儿秀安（金秀安 饰）则对如此自私的父亲越来越失望，决定前往釜山和母亲生活。在秀安生日这天，石宇抽出时间陪伴女儿登上开往釜山的特快列车。而与此同时，城市四处出现了极为可疑的暴动事件。政府极力洗白无法掩盖丧尸肆虐的事实，即便懵然无知的列车乘客也因为不速之客的到来而堕入恐慌绝望的地狱中。开车的刹那，一名感染者冲入车厢，而她很快尸变并对目光所及之处的健康人展开血腥屠杀。未过多久，丧尸便呈几何数爆发性地增长。石宇被迫和幸存者的乘客们在逼仄的空间中奋力求生。 通往釜山的遥遥旅途布满杀机，危难时刻每个幸存者的人性也承受巨大的考验……
因爱而伟大,剧情 / 家庭, 上映 / 120分钟,春节期间，粟铭因为突如其来的疫情失去了本就微薄的收入来源而被房东扫地出门，他的妻子也因不愿再忍受艰难的生活，撇下他和6岁的儿子小宇，选择了家境殷实的追求者。无路可走的粟铭只能投奔好友王云华，在千辛万苦投友成功后，却发现好友的新婚妻子，护士倩倩已自愿奔赴前线支援，好友早已自顾不暇。两人只能每日关注着疫情的进展，祈祷疫情早日过去，能与亲人早日团聚。巨大的无力感包围着这两个男人。为了打破这沉重无力的局面，两人平凡的人，用他们仅有的力量来帮助疫情区的人们。虽然能力有限，但也已经是他们的全部了。老板魏长城被他们的精神打动，决心帮助他们。救援过程中，粟铭在努力寻找自己的价值，王云华感受到自己在与妻子并肩战斗。一切似乎都在往好的方向发展，新确诊病例越来越少，大家都在期待春暖花开。但他们不知道的是，这一切只是开始倩倩因感染疫情不幸离世，王云华永远失去年仅28岁的新婚妻子，这一突如其来的噩耗打垮了王云华，他失去了内心的支柱，他已无力继续下去……而粟铭呢？好友不得已的放弃，带走了他一半的力量，他还能继续下去吗？这两颗千疮百孔的心，能否再去温暖他人？
活着,灾难,2020-06-24韩国上映 / 98分钟,讲述突然被不明病毒感染，并失控扩散的城市中，被孤立的幸存者身上发生的故事。刘亚仁将在片中饰演因与世隔绝而幸存的游戏玩家俊宇一角，朴信惠饰演直面极端情况，寻找新的生存方式的幸存者宥彬一角。
大赢家,喜剧,2020-03-20中国大陆上映 / 97分钟,在银行同事们眼里，严谨（大鹏 饰）就是个十足的怪咖，凡事认真恪守原则，总是得罪行长，以至于连累大家奖金泡汤。在一次公安局与银行联合举办的防范银行抢劫演习中，严谨阴差阳错地领到了扮演“劫匪”的任务，就在大家都想糊弄过去早点回家的时候，严谨却认认真真地当起了“劫匪”……
白蛇：缘起,爱情 / 动画 / 奇幻,2019-01-11中国大陆上映 / 98分钟,晚唐年间，国师发动民众大量捕蛇。前去刺杀国师的白蛇意外失忆，被捕蛇村少年救下。为帮助少女找回记忆，两人踏上一段冒险旅程，冒险的过程让两人感情迅速升温，但少女蛇妖的身份也逐渐显露，另一边国师与蛇族之间不可避免的大战也即将打响，两人的爱情将要接受巨大考验。
知晓天空之蓝的人啊,动画,2019-10-11日本上映 / 108分钟,17岁的高中二年级生相生葵居住在被群山围绕的城镇中。明明是决定将来出路的重要时期，葵却不准备考试，每天只要有空就弹着最喜欢的贝斯，沉浸在音乐之中。看着如此的葵，姐姐茜内心则担心不已。姐妹俩在13年前，因为事故失去了双亲，当时高中三年级的茜决定放弃与恋人前往东京，在本地就职。从此之后，茜就代替父母，与葵两人共同生活。然而葵对于必须养育自己，只好放弃恋爱与许多事情的姐姐感到愧疚，认为自己从姐姐的人生中夺走了自由……某日，城镇里举办的音乐祭邀请到知名歌手担任嘉宾，而为歌手进行伴奏的乐团出现了金室慎之介的名字。那位曾是茜的恋人，高中毕业后前往东京就失去音讯的慎之介回来了……同时，葵的面前却突然出现了慎之，从13年前穿越而来的18岁金室慎之介。由于这个意想不到的再会，让葵对慎之介的憧憬转变成恋爱。另一方，则是睽违13年再次相遇的茜与慎之介。痛苦且不可思议的四角关系，连系着过去与现在“第二次的初恋”即将开始。
航海王：狂热行动,动画 / 冒险,2019-10-18中国大陆上映 / 101分钟,“航海王系列”第14部剧场版，也是《航海王》动画二十周年纪念之作。 以超新星为代表的众多航海家纷纷现身世界最大的航海家庆典——航海世博会。草帽航海团也收到了主办者费斯塔的邀请函，搭乘万里阳光号前往。原以为航海家们的狂热世博会只是为争夺“航海王罗杰留下的宝藏”，就在神秘宝藏争夺战如火如荼之际，阻挡在路飞等人面前的可怕威胁道格拉斯·巴雷特突然现身！暗藏阴谋的敌我混战一触即发……
反贪风暴4,剧情 / 动作 / 犯罪,2019-04-04中国大陆上映 / 98分钟,廉政公署收到报案人廖雨萍（周秀娜 饰）的实名举报，举报正在坐牢的富二代曹元元（林峯 饰）涉嫌行贿监狱里的监督沈济全（谭耀文 饰）以及惩教员，首席调查主任陆志廉（古天乐 饰）决定深入虎穴，卧底狱中。在监狱里，被陆志廉送入监狱的前警司黄文彬（林家栋 饰）以及曹元元两大帮派势成水火，陆志廉趁机接近曹元元取得信任。同时监狱外的廉政公署总调查主任程德明（郑嘉颖 饰）、国内反贪局行动处处长洪亮（丁海峰 饰）也陆港联手，通力合作，最终成功破获贪腐行贿大案。
